Clients,Bandwidth_Usage,RSSI,SNR,Latency,Packet_Loss,Interference,AP_Load,Traffic_Type
20,10.65847437,-76.99314845,8.281294687,12.28757294,4.937437673,-45.71127979,42.63389748,Streaming
32,5.174615143,-78.48660488,10.16218705,51.67688481,5.358350086,-66.80043162,33.11753692,Streaming
21,5.156234355,-42.44254578,27.283502,32.92796677,0.966517838,-84.85927641,21.65618429,VoIP
38,10.30893067,-59.0703013,31.56054839,47.88376031,3.377908736,-92.14295691,78.34787308,VoIP
29,0.770395359,-80.48985419,28.91976864,40.44425606,7.898231794,-82.71265187,4.468293085,Game
22,31.01695479,-73.04056735,4.436462017,27.86582132,7.10507422,-48.00838318,100,VoIP
13,7.465425388,-43.22611278,5.354716051,11.31494428,2.833278597,-57.43217035,19.41010601,Game
32,22.28998317,-64.1892451,16.01816037,43.1012914,4.390059707,-88.65220095,100,VoIP
39,4.795526828,-77.50902039,33.76399685,50.72142575,6.950443214,-38.93048154,37.40510926,Streaming
2,21.44775584,-32.39088962,13.65814585,47.72449307,-0.606757912,-72.34366595,8.579102336,Game
41,18.26953442,-38.54690526,26.78463581,17.84366389,3.128903809,-60.91336047,100,Streaming
7,47.60686716,-52.49146436,4.897062186,16.26205888,4.462718129,-67.23879575,66.64961403,Web
41,16.51243809,-54.70865012,7.913743968,55.77883928,1.587246467,-63.48802052,100,VoIP
6,28.28798433,-63.89152032,21.40903005,25.20191438,3.975619069,-41.1570639,33.94558119,Web
14,8.123561,-65.25635879,35.93424523,18.02345655,2.413932986,-57.32012828,22.7459708,Game
10,7.124091716,-49.50207579,14.52636998,43.01730231,2.718150829,-80.49242256,14.24818343,VoIP
21,30.16259517,-78.50689412,36.66845546,13.70227608,3.862036102,-63.0002684,100,Streaming
39,1.591806544,-79.0727542,28.33970624,55.69269262,6.093066822,-53.08287831,12.41609104,Web
21,28.45748679,-71.40279773,11.44388868,31.31720703,4.932542264,-76.84635555,100,VoIP
20,8.077489805,-79.07312157,11.42945245,49.6517074,5.76762744,-76.7360798,32.30995922,VoIP
